5.99,3.18,4.08,1.15,1
4.81,3.66,1.35,0.27,0
4.86,2.67,4.97,1.37,1
6.28,2.71,5.03,1.82,2
4.94,3.06,1.69,0.21,0
6.7,3.45,5.04,2.05,2
7.3,2.69,5.72,2.06,2
5.07,3.56,1.24,0.24,0
5.85,2.36,4.5,1.2,1
6.49,2.96,5.58,1.8,2
5.74,2.91,3.7,1.4,1
4.98,3.27,1.34,0.35,0
5.03,3.79,1.11,0.15,0
5.7,2.91,3.7,1.25,1
5.16,3.88,1.61,0.29,0
5.3,3.79,1.39,0.36,0
7.16,3.35,5.4,2.07,2
5.88,2.76,3.95,1.37,1
6.01,2.6,3.69,0.97,1
5.08,3.19,0.98,0.25,0
6.67,2.89,6.2,1.97,2
5.02,3.35,1.58,0.16,0
6.38,3.01,3.97,1.06,1
5.89,3.15,5.11,2.05,2
6.29,2.57,4.31,1.23,1
5.15,3.44,1.38,0.32,0
5.24,3.69,1.5,0.44,0
5.93,2.6,4.01,1.06,1
6.16,2.32,6.11,2.51,2
5.56,2.59,4.63,1.27,1
6.41,3.01,5.6,1.88,2
6.98,3.21,5.44,1.87,2
5.26,2.72,3.56,1.06,1
6.72,3.57,5.47,1.94,2
6.24,3.05,5.96,1.94,2
5.06,3.69,1.4,0.36,0
5.59,2.71,4.46,1.58,1
6.58,3.3,4.22,1.33,1
6.29,2.89,4.16,1.36,1
4.56,3.82,1.47,0.32,0
6.8,2.85,5.34,2.27,2
4.44,3.21,1.13,0.1,0
5.45,3.05,1.29,0.3,0
4.81,3.57,1.61,0.3,0
5.97,3.2,6.28,2.03,2
4.95,3.54,1.55,0.22,0
5.22,3.46,1.61,0.31,0
5.83,2.88,4.32,1.51,1
6.83,3.05,4.95,1.99,2
7.36,2.54,5.01,1.92,2
5.42,2.89,3.87,1.38,1
5.71,2.54,3.99,1.37,1
5.59,2.68,5.39,1.79,2
6.71,2.75,5.57,1.71,2
5.51,3.66,1.12,0.24,0
6.52,2.69,5.72,2.1,2
5.48,3.16,1.56,0.22,0
6.33,3.15,5.79,2.09,2
6.39,2.69,4.67,1.32,1
6.27,2.53,4.2,1.72,1
6.13,2.63,4.49,1.56,1
4.55,3.33,1.48,0.29,0
4.84,3.68,1.59,0.27,0
6.43,2.46,5.38,1.94,2
5.8,2.91,4.1,1.45,1
6.57,3.09,5.52,1.85,2
