6.78,2.89,5.45,1.73
6.24,2.92,4.94,1.88
6.13,2.87,5.6,2.01
5.0,3.31,1.56,0.31
5.54,2.84,4.27,1.52
4.97,3.32,1.25,0.3
6.8,2.51,5.85,2.09
4.67,3.61,1.32,0.25
5.42,3.2,4.75,1.27
5.57,2.75,3.9,1.25
6.83,3.37,5.44,1.86
6.74,3.39,5.53,2.13
7.22,2.28,5.41,2.04
5.69,2.45,4.22,1.22
5.13,3.6,1.52,0.24
5.31,2.68,4.18,1.58
5.85,2.79,3.99,1.37
6.05,2.56,3.52,1.34
5.03,3.55,1.56,0.27
5.62,2.7,4.0,1.28
6.45,2.84,4.16,1.35
4.88,3.53,1.51,0.23
5.56,2.63,4.88,1.17
6.23,2.97,4.83,1.71
4.74,3.61,1.43,0.31
5.98,2.81,4.71,1.26
6.5,2.93,5.59,1.89
5.7,2.95,5.1,1.89
6.05,3.17,4.26,1.1
4.86,3.32,1.51,0.34
6.23,2.91,5.85,1.73
5.2,3.67,1.34,0.21
7.82,2.67,5.36,2.07
6.73,3.34,5.22,1.87
4.95,3.35,1.62,0.24
6.19,2.89,4.67,1.11
6.19,2.58,4.5,1.36
6.13,2.71,4.2,1.27
6.56,3.59,6.1,2.08
5.12,3.59,1.79,0.22
4.92,3.83,1.24,0.33
6.8,3.28,5.56,2.07
7.49,2.64,5.08,2.37
6.72,2.9,4.83,2.07
5.74,2.99,5.18,1.76
6.48,2.97,5.4,2.03
4.88,3.48,1.1,0.13
6.62,3.0,5.23,2.06
4.53,3.43,1.43,0.3
5.09,3.27,1.54,0.33
5.74,2.51,3.79,1.33
4.88,3.42,1.5,0.28
5.02,3.75,1.48,0.18
6.64,3.06,6.46,2.38
6.28,2.69,5.95,2.05
6.19,2.39,4.34,1.34
5.24,3.46,1.17,0.16
5.13,3.35,1.33,0.22
5.95,3.04,4.04,1.11
6.61,2.86,5.38,2.2
6.27,2.84,4.15,1.13
5.21,3.62,1.28,0.27
4.45,3.21,1.42,0.22
5.19,3.51,1.45,0.3
6.01,3.0,4.84,1.77
5.1,3.29,1.56,0.25
6.36,2.85,4.07,1.48
5.68,2.58,4.08,1.08
5.77,3.15,3.85,1.16
4.63,3.28,1.47,0.18
6.12,2.75,3.73,1.14
4.59,3.43,1.32,0.2
6.51,3.07,5.57,1.78
7.33,2.72,5.41,2.16
5.77,3.11,4.09,1.42
